ID_CYCL,ID_TRC,ID2020,TYPE_VOIE_R,TYPE_VOIE2_R,LONGUEUR,NBR_VOIE,SEPARATEUR_R,SAISONS4_R,PROTEGE_4S_R,VILLE_MTL_R,NOM_ARR_VILLE_R,geometry
27803.0,0.0,233.0,7.0,0.0,116.0,2.0,,NON,NON,OUI,Rosemont—La Petite-Patrie,"LINESTRING (-73.60510433754504 45.52846529402161, -73.60515607407763 45.52847343494294, -73.6052542906918 45.52848567228311, -73.60542255947908 45.528510442657414, -73.60557635843496 45.52853342647989, -73.60563436991535 45.52854246122396, -73.60569763171168 45.52855221095185, -73.60582044033484 45.52857045396932, -73.60582940432076 45.52857170543976, -73.60589765216591 45.52857776109756, -73.60593593583498 45.5285802451502, -73.60597294113391 45.52858372019889, -73.60600379946307 45.52858621111697, -73.60602607719528 45.52858709028095, -73.6060893233772 45.52858847130358, -73.60610519808887 45.52858836657558, -73.60615140939797 45.52858562412592, -73.60619006530075 45.52858180887444, -73.60621899041828 45.52857746275499, -73.60626147870462 45.52856923470459, -73.60629564581151 45.52856119434946, -73.60635757900894 45.5285452095523, -73.60641592769423 45.52852931804471, -73.60642181353262 45.52852760286735, -73.6064854092592 45.528510716612914, -73.60649219074548 45.528508730645335, -73.60652865795086 45.52849843847861, -73.60654337142532 45.528493565625794)"
27469.0,0.0,635.0,5.0,0.0,65.0,2.0,,NON,NON,OUI,Le Sud-Ouest,"LINESTRING (-73.55756044836264 45.49049647685813, -73.55761313063414 45.49046918499529, -73.55767795905699 45.490434238293005, -73.55776120046318 45.49038965390268, -73.55781337060694 45.49036218223693, -73.5579125959513 45.49030985097749, -73.5579568384022 45.490286792505515, -73.55805862248796 45.490234729773796, -73.55806552763615 45.49023139683727, -73.55808701282183 45.49022346727732, -73.55810338387529 45.49021877975699, -73.55810453502559 45.490218509217925, -73.55811016330323 45.490217606509844, -73.55812410754098 45.490216789554815, -73.55813971532214 45.49021633168946, -73.55814687976198 45.49021632804274, -73.55817502596089 45.49021649368092, -73.55817911992654 45.49021649159588, -73.55821302252323 45.49021593441668, -73.55821788364385 45.49021548201677, -73.55822875647816 45.49021376676923, -73.55824090728485 45.49021070110148, -73.55825497491001 45.49020547482679)"
26643.0,0.0,525.0,5.0,0.0,295.0,2.0,,NON,NON,NON,Kirkland,"LINESTRING (-73.89745657234022 45.44456925266691, -73.89747802822308 45.44456638846386, -73.89748863054525 45.4445652717464, -73.89750612558537 45.44456269127706, -73.89751365682224 45.444561135318416, -73.8975377762762 45.444555292321105, -73.89754236931367 45.44455401654216, -73.89757846434216 45.4445423727998, -73.89759019437355 45.4445380126784, -73.89763430411577 45.44452085191986, -73.89765291609977 45.44451349832105, -73.89766973782606 45.44450606096669, -73.8976956095573 45.44449490270517, -73.897713318495 45.444486382432245, -73.8977394300603 45.44447297369422, -73.8977913955967 45.44444588714146, -73.89780897161518 45.44443664743443, -73.8978848849615 45.444397509393944, -73.89788641385859 45.44439678418617, -73.89795047373148 45.44436263658058, -73.89800345664055 45.44433482650426, -73.89801237244555 45.44433020618936, -73.89806727083892 45.444302119453006, -73.89808778051862 45.44429196962651, -73.89812868025471 45.44427284018777, -73.89815416323613 45.44426096329481, -73.89819264619575 45.44424355197722, -73.89822692722187 45.44422849491297, -73.89824884866763 45.444219150002866, -73.89830009107554 45.4441983647071, -73.89830123900674 45.44419800076321, -73.89836551046423 45.444175820225986, -73.8983833653972 45.44416990891217, -73.89845377195971 45.44414761694221, -73.89850096107193 45.444132154825894, -73.89853629309287 45.444121143338734, -73.89858452063494 45.444107927196306, -73.8985943457351 45.44410537332392, -73.89862688956258 45.44409779097834, -73.8986312294149 45.44409687598016, -73.89867591319312 45.44408871134124, -73.8986792323127 45.444088069859674, -73.89872545573074 45.44408070969491, -73.89872775411843 45.44408034173082, -73.89877755927301 45.44407332898306, -73.8988056563037 45.44406963147738, -73.8988546982694 45.444063161272204, -73.89887040602093 45.44406094677565, -73.89892518822693 45.44405274677514, -73.89894817271197 45.44404915707492, -73.89897524011019 45.44404447328574, -73.89903856335306 45.44403291394264, -73.89904252097557 45.44403218023465, -73.89910265100545 45.444020991952485, -73.89915626998679 45.44401099620008, -73.89916852506228 45.444008613757234, -73.8992319703415 45.44399624401296, -73.89923401306466 45.44399587693224, -73.89929426005487 45.4439831583908, -73.89930293845029 45.44398114837754, -73.89936419280191 45.44396626663122, -73.8994028569874 45.443956503019095, -73.89942939520778 45.443949301385054, -73.89951666430747 45.44392551002717, -73.89954575272061 45.44391739959368, -73.8996046901408 45.44390027619086, -73.89965915606534 45.443883528343996, -73.8996864497527 45.443874704272, -73.89969983998287 45.44387015815358, -73.8997351608015 45.443857616584665, -73.89974293800698 45.443854709839, -73.89976332956259 45.44384599988851, -73.89977747213302 45.44383938146673, -73.89979543175858 45.44383023009567, -73.89982509947541 45.44381365894792, -73.8998679983954 45.44378813293262, -73.8998691437653 45.443787409040816, -73.89991560530864 45.443759530918655, -73.89997033176883 45.443725414853446, -73.89998764073984 45.443714645995435, -73.90002901447673 45.44369038505386, -73.90005460808739 45.44367616773111, -73.90008695113286 45.44365832735105, -73.90012171398554 45.44363921869154, -73.90014438340869 45.44362726122358, -73.90019202376585 45.44360342819592, -73.90022310626227 45.44358811178114, -73.90025381098495 45.44357360654909, -73.90030541518671 45.44354993955467, -73.90031140463991 45.44354730899121, -73.90036404541839 45.443525618013446, -73.9003761546874 45.44352071636422, -73.90042255668384 45.443502556652916, -73.90047750273285 45.4434814874383, -73.90049344044598 45.44347567250101, -73.900582824119 45.443443774237494, -73.90059493844622 45.44343959242947, -73.90067196031646 45.44341304658054, -73.90071595251798 45.443397594760945, -73.90075892080151 45.44338196654627, -73.90077243483306 45.443376879955686)"
26929.0,0.0,245.0,7.0,0.0,89.0,2.0,,NON,NON,OUI,Ville-Marie,"LINESTRING (-73.52828519200463 45.5169860749462, -73.52816283407026 45.51700077258326, -73.528098456874 45.51701158652649, -73.52753877387023 45.5171115151701, -73.52740516706963 45.517157889102606, -73.52725034293464 45.51726743676473)"
26767.0,0.0,953.0,5.0,0.0,63.0,2.0,,OUI,OUI,OUI,Verdun,"LINESTRING (-73.54564848550038 45.471496919774076, -73.54573962907875 45.47144136269134, -73.54594454089528 45.471315481700294, -73.54594658617056 45.47131422109036, -73.54615239195212 45.47118788943999, -73.54626860500431 45.471136461101594)"
26775.0,0.0,189.0,5.0,0.0,66.0,2.0,,OUI,OUI,OUI,Verdun,"LINESTRING (-73.59374747125626 45.443901829871855, -73.59371792144812 45.44388934617171, -73.5933938844477 45.44374437539155, -73.59338646459416 45.44374096201873, -73.59305961494013 45.443594732792626, -73.59303326225101 45.44358287620668)"
26731.0,0.0,1183.0,5.0,0.0,61.0,2.0,,NON,NON,OUI,Le Sud-Ouest,"LINESTRING (-73.58466090927408 45.47806137133243, -73.58467010146042 45.478049846477745, -73.58492502167145 45.47779284090017, -73.58492540472031 45.47779239069188, -73.58505300553601 45.477672976035436, -73.5850535163556 45.477672435746854, -73.58511878885501 45.477613627114074)"
26732.0,0.0,618.0,5.0,0.0,63.0,2.0,,NON,NON,OUI,Le Sud-Ouest,"LINESTRING (-73.57451233865955 45.478340375890006, -73.57452475904847 45.4783503560885, -73.57477752168646 45.478553736277696, -73.57503015835229 45.47875720596778, -73.57504257892424 45.478767186109145)"
26733.0,0.0,1182.0,7.0,0.0,79.0,2.0,,NON,NON,OUI,Le Sud-Ouest,"LINESTRING (-73.588897765605 45.47537642795977, -73.58888063922564 45.47538444992901, -73.58884933005518 45.47540166137183, -73.58873175959366 45.475465551941326, -73.58859016733452 45.475544938396915, -73.58858607809987 45.47554728117146, -73.58848844854302 45.47560386725887, -73.58841075230279 45.47564801994223, -73.58839528978223 45.475656850413145, -73.58830315519918 45.47571055257712, -73.58829599850469 45.47571433746823, -73.58822673012115 45.475749844976065, -73.58822647445436 45.475749935158284, -73.5880861040137 45.47579350611681)"
26778.0,0.0,1747.0,5.0,0.0,106.0,2.0,,OUI,OUI,OUI,Verdun,"LINESTRING (-73.5653673377257 45.45424082420566, -73.56546079081815 45.45412253029767, -73.56546640861944 45.45411577819729, -73.56556382864554 45.45400081137671, -73.56560953909752 45.453947783918764, -73.56567082637748 45.453876390531214, -73.56575624330462 45.453775198159505, -73.56576173339141 45.45376862608787, -73.56584880717014 45.45366320339217, -73.56587472376324 45.45363079381843, -73.5659494093918 45.45353743618867, -73.56600201006756 45.45347315645509, -73.56602971191579 45.453436876454745, -73.56603277514242 45.45343237542957, -73.56604745357801 45.45341122044746)"
